|Symbol|Security Name
0|AACG|ATA Creativity Global - American Depositary Shares, each representing two common shares
1|AACQ|Artius Acquisition Inc. - Class A Common Stock
2|AACQU|Artius Acquisition Inc. - Unit consisting of one ordinary share and one third redeemable warrant
3|AACQW|Artius Acquisition Inc. - Warrant
4|AAL|American Airlines Group, Inc. - Common Stock
5|AAME|Atlantic American Corporation - Common Stock
6|AAOI|Applied Optoelectronics, Inc. - Common Stock
7|AAON|AAON, Inc. - Common Stock
8|AAPL|Apple Inc. - Common Stock
9|AAWW|Atlas Air Worldwide Holdings - Common Stock
10|AAXJ|iShares MSCI All Country Asia ex Japan Index Fund
11|ABCB|Ameris Bancorp - Common Stock
12|ABCL|AbCellera Biologics Inc. - Common Shares
13|ABCM|Abcam plc - American Depositary Shares
14|ABEO|Abeona Therapeutics Inc. - Common Stock
15|ABGI|ABG Acquisition Corp. I - Class A Ordinary Shares
16|ABIO|ARCA biopharma, Inc. - Common Stock
17|ABMD|ABIOMED, Inc. - Common Stock
18|ABNB|Airbnb, Inc. - Class A Common Stock
19|ABST|Absolute Software Corporation - Common Stock
20|ABTX|Allegiance Bancshares, Inc. - Common Stock
21|ABUS|Arbutus Biopharma Corporation - Common Stock
22|ACAC|Acies Acquisition Corp. - Class A Ordinary Share
23|ACACU|Acies Acquisition Corp. - Unit
24|ACACW|Acies Acquisition Corp. - Warrant
25|ACAD|ACADIA Pharmaceuticals Inc. - Common Stock
26|ACBI|Atlantic Capital Bancshares, Inc. - Common Stock
27|ACCD|Accolade, Inc. - common stock
28|ACER|Acer Therapeutics Inc. - Common Stock
29|ACET|Adicet Bio, Inc. - Common Stock
30|ACEV|ACE Convergence Acquisition Corp. - Class A Ordinary Shares
31|ACEVU|ACE Convergence Acquisition Corp. - Unit
32|ACEVW|ACE Convergence Acquisition Corp. - Warrant
33|ACGL|Arch Capital Group Ltd. - Common Stock
34|ACGLO|Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F
35|ACGLP|Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs
36|ACHC|Acadia Healthcare Company, Inc. - Common Stock
37|ACHV|Achieve Life Sciences, Inc.  - Common Shares
38|ACIA|Acacia Communications, Inc. - Common Stock
39|ACIU|AC Immune SA - Common Stock
40|ACIW|ACI Worldwide, Inc. - Common Stock
41|ACKIT|Ackrell SPAC Partners I Co.  - Subunits
42|ACKIU|Ackrell SPAC Partners I Co.  - Units
43|ACKIW|Ackrell SPAC Partners I Co.  - Warrants
44|ACLS|Axcelis Technologies, Inc. - Common Stock
45|ACMR|ACM Research, Inc. - Class A Common Stock
46|ACNB|ACNB Corporation - Common Stock
47|ACOR|Acorda Therapeutics, Inc. - Common Stock
48|ACRS|Aclaris Therapeutics, Inc. - Common Stock
49|ACRX|AcelRx Pharmaceuticals, Inc. - Common Stock
50|ACST|Acasti Pharma, Inc. - Class A Common Stock
51|ACTC|ArcLight Clean Transition Corp. - Class A Ordinary Shares
52|ACTCU|ArcLight Clean Transition Corp. - Unit
53|ACTCW|ArcLight Clean Transition Corp. - Warrant
54|ACTG|Acacia Research Corporation - Common Stock
55|ACWI|iShares MSCI ACWI Index Fund
56|ACWX|iShares MSCI ACWI ex US Index Fund
57|ADAG|Adagene Inc. - ADS, each representing 1.25 ordinary shares
58|ADAP|Adaptimmune Therapeutics plc - American Depositary Shares
59|ADBE|Adobe Inc. - Common Stock
60|ADERU|26 Capital Acquisition Corp. - Unit
61|ADES|Advanced Emissions Solutions, Inc. - Common Stock
62|ADI|Analog Devices, Inc. - Common Stock
63|ADIL|Adial Pharmaceuticals, Inc - Common Stock
64|ADILW|Adial Pharmaceuticals, Inc - Warrant
65|ADMA|ADMA Biologics Inc - Common Stock
66|ADMP|Adamis Pharmaceuticals Corporation - Common Stock
67|ADMS|Adamas Pharmaceuticals, Inc. - Common Stock
68|ADN|Advent Technologies Holdings, Inc. - Class A Common Stock
69|ADNWW|Advent Technologies Holdings, Inc. - Warrant
70|ADOC|Edoc Acquisition Corp. - Class A Ordinary Share
71|ADOCR|Edoc Acquisition Corp. - Right
72|ADOCW|Edoc Acquisition Corp. - Warrant
73|ADP|Automatic Data Processing, Inc. - Common Stock
74|ADPT|Adaptive Biotechnologies Corporation - Common Stock
75|ADRE|Invesco BLDRS Emerging Markets 50 ADR Index Fund
76|ADSK|Autodesk, Inc. - Common Stock
77|ADTN|ADTRAN, Inc. - Common Stock
78|ADTX|ADiTx Therapeutics, Inc. - Common Stock
79|ADUS|Addus HomeCare Corporation - Common Stock
80|ADV|Advantage Solutions Inc.  - Class A Common Stock
81|ADVM|Adverum Biotechnologies, Inc. - Common Stock
82|ADVWW|Advantage Solutions Inc.  - Warrant
83|ADXN|Addex Therapeutics Ltd - American Depositary Shares
84|ADXS|Advaxis, Inc. - Common Stock
85|AEACU|Authentic Equity Acquisition Corp. - Unit
86|AEGN|Aegion Corp - Class A Common Stock
87|AEHL|Antelope Enterprise Holdings Limited - Common Stock
88|AEHR|Aehr Test Systems - Common Stock
89|AEI|Alset EHome International Inc. - Common Stock
90|AEIS|Advanced Energy Industries, Inc. - Common Stock
91|AEMD|Aethlon Medical, Inc. - Common Stock
92|AEP|American Electric Power Company, Inc. - Common Stock
93|AEPPL|American Electric Power Company, Inc. - Corporate Unit
94|AEPPZ|American Electric Power Company, Inc. - Corporate Unit
95|AERI|Aerie Pharmaceuticals, Inc. - Common Stock
96|AESE|Allied Esports Entertainment, Inc. - Common Stock
97|AEY|ADDvantage Technologies Group, Inc. - Common Stock
98|AEYE|AudioEye, Inc. - Common Stock
99|AEZS|Aeterna Zentaris Inc. - Common Stock
100|AFBI|Affinity Bancshares, Inc. - Common Stock
101|AFIB|Acutus Medical, Inc. - Common Stock
102|AFIN|American Finance Trust, Inc. - Class A Common Stock
103|AFINO|American Finance Trust, Inc. - 7.375% Series C Cumulative Redeemable Preferred Stock
104|AFINP|American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock
105|AFMD|Affimed N.V. - Common Stock
106|AFRM|Affirm Holdings, Inc. - Class A Common Stock
107|AFYA|Afya Limited - Class A Common Shares
108|AGBA|AGBA Acquisition Limited - Ordinary Share
109|AGBAR|AGBA Acquisition Limited - Right
110|AGBAU|AGBA Acquisition Limited - Unit
111|AGBAW|AGBA Acquisition Limited - Warrant
112|AGC|Altimeter Growth Corp. - Class A Ordinary Shares
113|AGCUU|Altimeter Growth Corp. - Unit
114|AGCWW|Altimeter Growth Corp. - Warrant
115|AGEN|Agenus Inc. - Common Stock
116|AGFS|AgroFresh Solutions, Inc. - Common Stock
117|AGFY|Agrify Corporation - Common Stock
118|AGIO|Agios Pharmaceuticals, Inc. - Common Stock
119|AGLE|Aeglea BioTherapeutics, Inc. - Common Stock
120|AGMH|AGM Group Holdings Inc. - Class A Ordinary Shares
121|AGNC|AGNC Investment Corp. - Common Stock
122|AGNCM|AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
123|AGNCN|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock
124|AGNCO|AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock
125|AGNCP|AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock
126|AGRX|Agile Therapeutics, Inc. - Common Stock
127|AGTC|Applied Genetic Technologies Corporation - Common Stock
128|AGYS|Agilysys, Inc. - Common Stock
129|AGZD|WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
130|AHAC|Alpha Healthcare Acquisition Corp. - Common Stock
131|AHACU|Alpha Healthcare Acquisition Corp. - Unit
132|AHACW|Alpha Healthcare Acquisition Corp. - Warrant
133|AHCO|AdaptHealth Corp.  - Class A Common Stock
134|AHPI|Allied Healthcare Products, Inc. - Common Stock
135|AIA|iShares Asia 50 ETF
136|AIH|Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares
137|AIHS|Senmiao Technology Limited - Common Stock
138|AIKI|AIkido Pharma Inc. - Common Stock
139|AIMC|Altra Industrial Motion Corp. - Common Stock
140|AINV|Apollo Investment Corporation - Closed End Fund
141|AIQ|Global X Artificial Intelligence & Technology ETF
142|AIRG|Airgain, Inc. - Common Stock
143|AIRR|First Trust RBA American Industrial Renaissance ETF
144|AIRT|Air T, Inc. - Common Stock
145|AIRTP|Air T, Inc. - Trust Preferred Securities
146|AIRTW|Air T, Inc. - Air T Funding Warrants to Purchase Trust Preferred
147|AKAM|Akamai Technologies, Inc. - Common Stock
148|AKBA|Akebia Therapeutics, Inc. - Common Stock
149|AKER|Akers Biosciences Inc. - Common Stock
150|AKICU|Sports Ventures Acquisition Corp. - Unit
151|AKRO|Akero Therapeutics, Inc. - Common Stock
152|AKTS|Akoustis Technologies, Inc. - Common Stock
153|AKTX|Akari Therapeutics Plc - American Depositary Shares
154|AKU|Akumin Inc. - Common Shares
155|AKUS|Akouos, Inc. - Common Stock
156|ALAC|Alberton Acquisition Corporation - Ordinary Shares
157|ALACR|Alberton Acquisition Corporation - Rights
158|ALACU|Alberton Acquisition Corporation - Unit
159|ALACW|Alberton Acquisition Corporation - Warrant
160|ALBO|Albireo Pharma, Inc. - Common Stock
161|ALCO|Alico, Inc. - Common Stock
162|ALDX|Aldeyra Therapeutics, Inc. - Common Stock
163|ALEC|Alector, Inc. - Common Stock
164|ALGM|Allegro MicroSystems, Inc. - Common Stock
165|ALGN|Align Technology, Inc. - Common Stock
166|ALGS|Aligos Therapeutics, Inc. - Common stock
167|ALGT|Allegiant Travel Company - Common Stock
168|ALIM|Alimera Sciences, Inc. - Common Stock
169|ALJJ|ALJ Regional Holdings, Inc. - Common Stock
170|ALKS|Alkermes plc - Ordinary Shares
171|ALLK|Allakos Inc. - Common Stock
172|ALLO|Allogene Therapeutics, Inc. - Common Stock
173|ALLT|Allot Ltd. - Ordinary Shares
174|ALNA|Allena Pharmaceuticals, Inc. - Common Stock
175|ALNY|Alnylam Pharmaceuticals, Inc. - Common Stock
176|ALOT|AstroNova, Inc. - Common Stock
177|ALPN|Alpine Immune Sciences, Inc. - Common Stock
178|ALRM|Alarm.com Holdings, Inc. - Common Stock
179|ALRN|Aileron Therapeutics, Inc. - Common Stock
180|ALRS|Alerus Financial Corporation - Common Stock
181|ALSK|Alaska Communications Systems Group, Inc. - Common Stock
182|ALT|Altimmune, Inc. - Common Stock
183|ALTA|Altabancorp - Common Stock
184|ALTM|Altus Midstream Company - Class A Common Stock
185|ALTO|Alto Ingredients, Inc. - Common Stock
186|ALTR|Altair Engineering Inc. - Class A Common Stock
187|ALTU|Altitude Acquisition Corp. - Class A Common Stock
188|ALTUU|Altitude Acquisition Corp. - Unit
189|ALTUW|Altitude Acquisition Corp. - Warrant
190|ALTY|Global X SuperDividend Alternatives ETF
191|ALVR|AlloVir, Inc. - Common Stock
192|ALXN|Alexion Pharmaceuticals, Inc. - Common Stock
193|ALXO|ALX Oncology Holdings Inc. - Common Stock
194|ALYA|Alithya Group inc. - Class A subordinate voting shares
195|AMAL|Amalgamated Bank - Class A Common Stock
196|AMAT|Applied Materials, Inc. - Common Stock
197|AMBA|Ambarella, Inc. - Ordinary Shares
198|AMCA|iShares Russell 1000 Pure U.S. Revenue ETF
199|AMCX|AMC Networks Inc. - Class A Common Stock
200|AMD|Advanced Micro Devices, Inc. - Common Stock
201|AMED|Amedisys Inc - Common Stock
202|AMEH|Apollo Medical Holdings, Inc. - Common Stock
203|AMGN|Amgen Inc. - Common Stock
204|AMHC|Amplitude Healthcare Acquisition Corporation - Class A Common Stock
205|AMHCU|Amplitude Healthcare Acquisition Corporation - Unit
206|AMHCW|Amplitude Healthcare Acquisition Corporation - Warrant
207|AMKR|Amkor Technology, Inc. - Common Stock
208|AMNB|American National Bankshares, Inc. - Common Stock
